Water,Methane,Ethane,Pressure,Temperature,Whether hydrate form in stream
0,0,0,1,0,2
0,0,0,1,5,2
0,0,0,1,10,2
0,0,0,1,15,2
0,0,0,1,20,2
0,0,0,1,25,2
0,0,0,1,30,2
0,0,0,1.5,0,2
0,0,0,1.5,5,2
0,0,0,1.5,10,2
0,0,0,1.5,15,2
0,0,0,1.5,20,2
0,0,0,1.5,25,2
0,0,0,1.5,30,2
0,0,0,2,0,2
0,0,0,2,5,2
0,0,0,2,10,2
0,0,0,2,15,2
0,0,0,2,20,2
0,0,0,2,25,2
0,0,0,2,30,2
0,0,0,2.5,0,2
0,0,0,2.5,5,2
0,0,0,2.5,10,2
0,0,0,2.5,15,2
0,0,0,2.5,20,2
0,0,0,2.5,25,2
0,0,0,2.5,30,2
0,0,0,3,0,2
0,0,0,3,5,2
0,0,0,3,10,2
0,0,0,3,15,2
0,0,0,3,20,2
0,0,0,3,25,2
0,0,0,3,30,2
0,0,0,3.5,0,2
0,0,0,3.5,5,2
0,0,0,3.5,10,2
0,0,0,3.5,15,2
0,0,0,3.5,20,2
0,0,0,3.5,25,2
0,0,0,3.5,30,2
0,0,0,4,0,2
0,0,0,4,5,2
0,0,0,4,10,2
0,0,0,4,15,2
0,0,0,4,20,2
0,0,0,4,25,2
0,0,0,4,30,2
0,0,0,4.5,0,2
0,0,0,4.5,5,2
0,0,0,4.5,10,2
0,0,0,4.5,15,2
0,0,0,4.5,20,2
0,0,0,4.5,25,2
0,0,0,4.5,30,2
0,0,0,5,0,2
0,0,0,5,5,2
0,0,0,5,10,2
0,0,0,5,15,2
0,0,0,5,20,2
0,0,0,5,25,2
0,0,0,5,30,2
0,0,0,5.5,0,2
0,0,0,5.5,5,2
0,0,0,5.5,10,2
0,0,0,5.5,15,2
0,0,0,5.5,20,2
0,0,0,5.5,25,2
0,0,0,5.5,30,2
0,0,0,6,0,2
0,0,0,6,5,2
0,0,0,6,10,2
0,0,0,6,15,2
0,0,0,6,20,2
0,0,0,6,25,2
0,0,0,6,30,2
0,0,0,6.5,0,2
0,0,0,6.5,5,2
0,0,0,6.5,10,2
0,0,0,6.5,15,2
0,0,0,6.5,20,2
0,0,0,6.5,25,2
0,0,0,6.5,30,2
0,0,0,7,0,2
0,0,0,7,5,2
0,0,0,7,10,2
0,0,0,7,15,2
0,0,0,7,20,2
0,0,0,7,25,2
0,0,0,7,30,2
0,0,0,7.5,0,2
0,0,0,7.5,5,2
0,0,0,7.5,10,2
0,0,0,7.5,15,2
0,0,0,7.5,20,2
0,0,0,7.5,25,2
0,0,0,7.5,30,2
0,0,0,8,0,2
0,0,0,8,5,2
0,0,0,8,10,2
0,0,0,8,15,2
0,0,0,8,20,2
0,0,0,8,25,2
0,0,0,8,30,2
0,0,0,8.5,0,2
0,0,0,8.5,5,2
0,0,0,8.5,10,2
0,0,0,8.5,15,2
